state,date,year,month,index
Andaman & Nicobar Islands,2011-01-01,2011,January,93.5
Andaman & Nicobar Islands,2011-02-01,2011,February,92.7
Andaman & Nicobar Islands,2011-03-01,2011,March,93.0
Andaman & Nicobar Islands,2011-04-01,2011,April,93.3
Andaman & Nicobar Islands,2011-05-01,2011,May,94.1
Andaman & Nicobar Islands,2011-06-01,2011,June,95.1
Andaman & Nicobar Islands,2011-07-01,2011,July,96.2
Andaman & Nicobar Islands,2011-08-01,2011,August,96.9
Andaman & Nicobar Islands,2011-09-01,2011,September,96.9
Andaman & Nicobar Islands,2011-10-01,2011,October,98.4
Andaman & Nicobar Islands,2011-11-01,2011,November,100.8
Andaman & Nicobar Islands,2011-12-01,2011,December,96.7
Andaman & Nicobar Islands,2012-01-01,2012,January,97.9
Andaman & Nicobar Islands,2012-02-01,2012,February,97.1
Andaman & Nicobar Islands,2012-03-01,2012,March,97.1
Andaman & Nicobar Islands,2012-04-01,2012,April,97.8
Andaman & Nicobar Islands,2012-05-01,2012,May,98.8
Andaman & Nicobar Islands,2012-06-01,2012,June,100.7
Andaman & Nicobar Islands,2012-07-01,2012,July,99.9
Andaman & Nicobar Islands,2012-08-01,2012,August,99.8
Andaman & Nicobar Islands,2012-09-01,2012,September,101.5
Andaman & Nicobar Islands,2012-10-01,2012,October,102.9
Andaman & Nicobar Islands,2012-11-01,2012,November,103.8
Andaman & Nicobar Islands,2012-12-01,2012,December,104.7
Andaman & Nicobar Islands,2013-01-01,2013,January,103.5
Andaman & Nicobar Islands,2013-02-01,2013,February,103.3
Andaman & Nicobar Islands,2013-03-01,2013,March,103.3
Andaman & Nicobar Islands,2013-04-01,2013,April,103.1
Andaman & Nicobar Islands,2013-05-01,2013,May,105.4
Andaman & Nicobar Islands,2013-06-01,2013,June,107.8
Andaman & Nicobar Islands,2013-07-01,2013,July,108.0
Andaman & Nicobar Islands,2013-08-01,2013,August,108.7
Andaman & Nicobar Islands,2013-09-01,2013,September,108.2
Andaman & Nicobar Islands,2013-10-01,2013,October,109.6
Andaman & Nicobar Islands,2013-11-01,2013,November,110.6
Andaman & Nicobar Islands,2013-12-01,2013,December,111.0
Andaman & Nicobar Islands,2014-01-01,2014,January,110.0
Andaman & Nicobar Islands,2014-02-01,2014,February,109.2
Andaman & Nicobar Islands,2014-03-01,2014,March,109.9
Andaman & Nicobar Islands,2014-04-01,2014,April,111.4
Andaman & Nicobar Islands,2014-05-01,2014,May,112.7
Andaman & Nicobar Islands,2014-06-01,2014,June,113.3
Andaman & Nicobar Islands,2014-07-01,2014,July,113.7
Andaman & Nicobar Islands,2014-08-01,2014,August,115.0
Andaman & Nicobar Islands,2014-09-01,2014,September,116.0
Andaman & Nicobar Islands,2014-10-01,2014,October,116.7
Andaman & Nicobar Islands,2014-11-01,2014,November,118.4
Andaman & Nicobar Islands,2014-12-01,2014,December,118.2
Andaman & Nicobar Islands,2015-01-01,2015,January,117.4
Andaman & Nicobar Islands,2015-02-01,2015,February,116.8
Andaman & Nicobar Islands,2015-03-01,2015,March,117.7
Andaman & Nicobar Islands,2015-04-01,2015,April,117.8
Andaman & Nicobar Islands,2015-05-01,2015,May,117.3
Andaman & Nicobar Islands,2015-06-01,2015,June,118.4
Andaman & Nicobar Islands,2015-07-01,2015,July,120.3
Andaman & Nicobar Islands,2015-08-01,2015,August,122.1
Andaman & Nicobar Islands,2015-09-01,2015,September,123.0
Andaman & Nicobar Islands,2015-10-01,2015,October,126.3
Andaman & Nicobar Islands,2015-11-01,2015,November,126.8
Andaman & Nicobar Islands,2015-12-01,2015,December,126.3
Andaman & Nicobar Islands,2016-01-01,2016,January,125.1
Andaman & Nicobar Islands,2016-02-01,2016,February,126.1
Andaman & Nicobar Islands,2016-03-01,2016,March,126.1
Andaman & Nicobar Islands,2016-04-01,2016,April,127.3
Andaman & Nicobar Islands,2016-05-01,2016,May,128.5
Andaman & Nicobar Islands,2016-06-01,2016,June,130.0
Andaman & Nicobar Islands,2016-07-01,2016,July,129.9
Andaman & Nicobar Islands,2016-08-01,2016,August,129.9
Andaman & Nicobar Islands,2016-09-01,2016,September,129.4
Andaman & Nicobar Islands,2016-10-01,2016,October,130.8
Andaman & Nicobar Islands,2016-11-01,2016,November,131.2
Andaman & Nicobar Islands,2016-12-01,2016,December,132.5
Andaman & Nicobar Islands,2017-01-01,2017,January,133.3
Andaman & Nicobar Islands,2017-02-01,2017,February,133.2
Andaman & Nicobar Islands,2017-03-01,2017,March,131.3
Andaman & Nicobar Islands,2017-04-01,2017,April,130.6
Andaman & Nicobar Islands,2017-05-01,2017,May,131.3
Andaman & Nicobar Islands,2017-06-01,2017,June,131.8
Andaman & Nicobar Islands,2017-07-01,2017,July,133.3
Andaman & Nicobar Islands,2017-08-01,2017,August,134.3
Andaman & Nicobar Islands,2017-09-01,2017,September,134.7
Andaman & Nicobar Islands,2017-10-01,2017,October,136.1
Andaman & Nicobar Islands,2017-11-01,2017,November,138.8
Andaman & Nicobar Islands,2017-12-01,2017,December,138.5
Andaman & Nicobar Islands,2018-01-01,2018,January,138.8
Andaman & Nicobar Islands,2018-02-01,2018,February,138.5
Andaman & Nicobar Islands,2018-03-01,2018,March,137.8
Andaman & Nicobar Islands,2018-04-01,2018,April,139.5
Andaman & Nicobar Islands,2018-05-01,2018,May,139.8
Andaman & Nicobar Islands,2018-06-01,2018,June,140.5
Andaman & Nicobar Islands,2018-07-01,2018,July,141.7
Andaman & Nicobar Islands,2018-08-01,2018,August,140.4
Andaman & Nicobar Islands,2018-09-01,2018,September,140.5
Andaman & Nicobar Islands,2018-10-01,2018,October,144.9
Andaman & Nicobar Islands,2018-11-01,2018,November,151.1
Andaman & Nicobar Islands,2018-12-01,2018,December,149.6
Andaman & Nicobar Islands,2019-01-01,2019,January,149.5
Andaman & Nicobar Islands,2019-02-01,2019,February,149.4
Andaman & Nicobar Islands,2019-03-01,2019,March,149.7
Andaman & Nicobar Islands,2019-04-01,2019,April,148.7
Andaman & Nicobar Islands,2019-05-01,2019,May,149.0
Andaman & Nicobar Islands,2019-06-01,2019,June,150.3
Andaman & Nicobar Islands,2019-07-01,2019,July,151.4
Andaman & Nicobar Islands,2019-08-01,2019,August,152.1
Andaman & Nicobar Islands,2019-09-01,2019,September,154.0
Andaman & Nicobar Islands,2019-10-01,2019,October,156.0
Andaman & Nicobar Islands,2019-11-01,2019,November,158.2
Andaman & Nicobar Islands,2019-12-01,2019,December,157.8
